id,name,str_number,str_address,lon,lat,kind,units,people
59,Sheraton Gateway Los Angeles Hotel,6101,West Century Boulevard,-118.3908277,33.9466336,hotel,803,1606
60,Hyatt Regency Los Angeles International Airport,6225,West Century Boulevard,-118.3951661,33.9460765,hotel,580,1160
61,Courtyard Los Angeles LAX/Century Boulevard,6161,West Century Boulevard,-118.3936511,33.9468182,hotel,190,380
62,AIR Venice,5,Rose Avenue,-118.4803955,33.9948743,apartments,60,120
63,Cadillac Hotel,,,-118.4795632,33.9939944,hotel,47,94
64,Venice Suites,,,-118.4793365,33.9937334,hotel,31,62
65,Ramada Marina Del Rey,3130,Washington Boulevard,-118.4493375,33.9900161,hotel,33,66
66,The Kinney Venice Beach,737,West Washington Boulevard,-118.4538156,33.9875087,hotel,68,136
67,Holiday Inn Express,8620,Airport Boulevard,-118.3849316,33.9590625,hotel,104,208
68,"Avenue Hotel, Ascend Hotel Collection",321,North Vermont Avenue,-118.2922159,34.0771535,hotel,69,138
69,Silver Lake Hotel,,,-118.2851377,34.0758478,hotel,65,130
70,Holiday Inn Express,611,South Westlake Avenue,-118.2742329,34.0587035,hotel,160,320
71,Economy Inn,,,-118.3060409,34.0977448,hotel,19,38
72,Hollywood Stars Inn,,,-118.3083377,34.0984186,hotel,25,50
73,Silver Lake Pool & Inn,4141,Santa Monica Boulevard,-118.2828186,34.0918523,hotel,54,108
74,Hilton Garden Inn Los Angeles Airport,5249,West Century Boulevard,-118.3718355,33.9457375,hotel,282,564
75,Travelodge Hollywood-Vermont/Sunset,,,-118.2923529,34.0968926,hotel,71,142
76,Hotel June,8639,Lincoln Boulevard,-118.4187319,33.9587576,hotel,250,500
77,Hollywood Historic Hotel,5162,Melrose Avenue,-118.3130427,34.0833443,apartments,62,124
78,Dunes Inn,,Sunset location,-118.3124183,34.0984595,hotel,55,110
79,Hollywood Panorama Suites,,,-118.3192581,34.0985509,hotel,65,130
80,Le Bon Hotel,,Argyle Avenue,-118.3249442,34.1002077,hotel,20,40
81,Brentwood Inn,12200,W Sunset Blvd,-118.4781766,34.0581928,hotel,25,50
82,UCLA Guest House,,,-118.4384822,34.0745533,hotel,61,122
83,ReTan,1732,Whitley Avenue,-118.3329471,34.1026261,hotel,60,120
84,The Aster,1717,Vine Street,-118.3271429,34.1023896,hotel,35,70
85,Mama Shelter (Los Angeles),,,-118.3271429,34.0996228,hotel,70,140
86,Hollywood Orchid Suites,,,-118.3406265,34.1031213,hotel,40,80
87,Fenix Hotel,,,-118.3444208,34.1038374,apartments,20,40
88,Hollywood Celebrity Hotel,1775,Orchid Avenue,-118.3406067,34.1037404,hotel,38,76
89,InterContinental Los Angeles Century City,2151,Avenue of the Stars,-118.4123424,34.0541289,hotel,361,722
90,The MOMENT Hotel,,,-118.3514522,34.0976859,hotel,39,78
91,Palihotel Melrose Avenue,,,-118.3629401,34.0835351,hotel,33,66
92,Central Lake Hotel,1906,West 3rd Street,-118.2707972,34.0615821,hotel,80,160
93,Cameo Hotel,,,-118.2716681,34.0590281,hotel,138,276
94,The Mayfair Hotel,1256,West 7th Street,-118.2678533,34.0518233,hotel,295,590
95,Courtyard Los Angeles Century City/Beverly Hills,10320,West Olympic Boulevard,-118.416759,34.0524699,hotel,136,272
96,Best Western Plus La Mid-Town Hotel,603,South New Hampshire Avenue,-118.293264,34.0633447,hotel,90,180
97,Hilton Garden Inn,2005,North Highland Avenue,-118.3377971,34.1066408,hotel,160,320
98,Hotel Lexen,2018,Highland Avenue,-118.3371007,34.1072214,hotel,124,248
99,BLVD,2010,Highland Avenue,-118.3368672,34.1070017,hotel,628,1256
100,The L.A. Grand Hotel Downtown,333,Figueroa Street,-118.2555829,34.0547008,hotel,487,974
101,Omni Los Angeles Hotel,251,Olive Street,-118.2504345,34.0525759,hotel,453,906
102,Miyako Hotel,328,East 1st Street,-118.2402793,34.0496671,hotel,174,348
103,La Jolla Hotel,,East 6th Street,-118.2428074,34.0410473,hotel,110,220
104,Regal Hotel,815,East 6th Street,-118.2422218,34.0406834,hotel,20,40
105,Rossmore Hotel,905,East 6th Street,-118.2410088,34.0399307,apartments,17,34
106,Ellis Hotel,,East 6th Street,-118.2428443,34.040458,apartments,56,112
107,Kawada Hotel,200,South Hill Street,-118.2477049,34.0527431,hotel,116,232
108,Senator Hotel,729,South Main Street,-118.2525717,34.0436343,hotel,99,198
109,St. George Hotel,,,-118.2453191,34.0491736,hotel,86,172
110,King Edward Hotel,,,-118.247745,34.0464145,hotel,150,300
111,Stay on Main,640,South Main Street,-118.2505789,34.044202,hotel,148,296
112,Baltimore Hotel,,,-118.2480595,34.0460195,hotel,683,1366
113,Figueroa Hotel,939,South Figueroa,-118.2640734,34.0455419,hotel,268,536
114,Hilton Checkers,,,-118.2549848,34.0496123,hotel,193,386
115,The Standard,550,South Flower Street,-118.2569835,34.0501694,hotel,207,414
116,Stillwell,838,South Grand Avenue,-118.2584771,34.0447385,hotel,250,500
117,The Wayfarer,813,South Flower Street,-118.2607257,34.0471253,hotel,156,312
118,O Hotel,819,South Flower Street,-118.2608398,34.0470169,hotel,67,134
119,Luxe Hotel,1020,South Figueroa Street,-118.264178,34.0442534,hotel,195,390
120,Los Feliz Hotel,3101,Los Feliz Boulevard,-118.2668936,34.1246978,hotel,11,22
121,Lulz,,,-118.3493559,34.0305619,hotel,179,358
122,Kimpton Hotel Wilshire,,,-118.3659957,34.0638977,hotel,74,148
123,Wilshire Crest Hotel,,,-118.3653541,34.0647306,hotel,34,68
124,Chateau Marmont,8221,West Sunset Boulevard,-118.3684772,34.0982574,hotel,63,126
125,Highland Park Motel,4855,York Boulevard,-118.2092738,34.1221613,hotel,26,52
126,Best Western Plus Glendale,2911,Colorado Boulevard,-118.2284217,34.143088,hotel,49,98
127,"Tilt Hotel Universal/Hollywood, Ascend Hotel Collection",3241,Cahuenga Boulevard West,-118.3481862,34.1287547,hotel,46,92
128,Flamingo,,,-118.3850537,34.1813407,hotel,40,80
129,Comfort Inn & Suites Near Universal - N. Hollywood - Burbank,6147,Lankershim Boulevard,-118.3859618,34.1825821,hotel,60,120
130,Econo,,,-118.3656213,34.1645649,hotel,32,64
131,Hyland Inn Van Nuys,7041,Sepulveda Boulevard,-118.4667553,34.1986769,hotel,34,68
132,Granada Inn,,,-118.4706867,34.2793341,hotel,130,260
133,Granada Inn,,,-118.4702988,34.2795386,hotel,115,230
134,Courtyard Los Angeles Sherman Oaks,15433,Ventura Boulevard,-118.4695423,34.1548689,hotel,213,426
135,Showtime Motel,,,-118.3729414,34.1412215,hotel,11,22
136,Best Western Plus Carriage Inn,,,-118.4667427,34.1705761,hotel,178,356
137,Best Western Plus Carriage Inn,5525,Sepulveda Boulevard,-118.4666929,34.1713592,hotel,178,356
138,Hampton Inn & Suites,5638,Sepulveda Boulevard,-118.4657804,34.1732969,hotel,171,342
139,Sportsmen's Lodge,12825,Ventura Boulevard,-118.41212,34.1457341,hotel,190,380
140,Redwood Lodge Hotel,,,-118.3872815,34.2327769,hotel,105,210
141,Redwood Lodge Motel,,,-118.3874914,34.2325916,hotel,11,22
142,Studio City Court Yard Hotel,12933,Ventura Blvd,-118.4148937,34.1456052,hotel,66,132
143,Holiday Inn Express,,,-118.4713715,34.2203209,hotel,160,320
144,Hotel Indigo,899,Francisco Street,-118.2645229,34.0473293,hotel,350,700
145,Hampton Inn & Suites,1133,Vine Street,-118.3272214,34.0917911,hotel,112,224
146,Hotel Mariposa,12828,Riverside Drive,-118.4124322,34.1573251,hotel,94,188
